ctx_src,ctx_tgt,res_src,res_tgt,correctness,templated,engagement,understanding,sensibleness,politeness,iq
<speaker2>Visitor uploaded: #ALPHANUMERIC_ID# URL: #URL# Type: image/jpeg Size: #NUMBER# Visitor uploaded: #ALPHANUMERIC_ID# URL: #URL# Type: image/jpeg Size: #NUMBER# Reklamation! Anlieferung heute 21.12.#NUMBER# durch #PRS_ORG# #PHONENUMBER#). An der rechten Couchseite ist die Lehne eingedrückt. #PRS_ORG#,"<speaker2>Visitor uploaded: #ALPHANUMERIC_ID# URL: #URL# Type: Image/jpeg Size: #NUMBER# Visitor uploaded: #ALPHANUMERIC_ID# URL: #URL# Type: Image/jpeg Size: #NUMBER# Complaint! Delivery today 21.12.#NUMBER# by #PRS_ORG# #PHONENUMBER#). On the right side of the couch, the backrest is pressed in. #PRS_ORG#","<speaker2>Guten Abend #NAME# Vielen Dank für Ihre Kontaktaufnahme mit #PRS_ORG#, Sie sind bei #NAME# durch. Damit ich Ihnen weiterhelfen kann, geben Sie bitte Ihre Kontodaten an (vollständiger Name, E-Mail-Adresse, Postanschrift und Bestellnummer). Chat-Nachricht","<speaker2>Good Evening #NAME# Thanks for contacting #PRS_ORG#, you are through to #NAME#. So that I can assist you can you please provide your account details (Full Name, E-mail address, Postal Address and Order Number) Chat message",2,1,1,1,1,1,5
"<speaker1>Guten Abend #NAME# Vielen Dank für Ihre Kontaktaufnahme mit #PRS_ORG#, Sie sind bei #NAME# durch. Damit ich Ihnen weiterhelfen kann, geben Sie bitte Ihre Kontodaten an (vollständiger Name, E-Mail-Adresse, Postanschrift und Bestellnummer). Chat-Nachricht","<speaker1>Good Evening #NAME# Thanks for contacting #PRS_ORG#, you are through to #NAME#. So that I can assist you can you please provide your account details (Full Name, E-mail address, Postal Address and Order Number) Chat message","<speaker2>#ADDRESS#, #EMAIL# #PRS_ORG# Setzer Sofa Retrogelb","<speaker2>#ADDRESS#, #EMAIL# #PRS_ORG# seater sofa retro yellow",2,0,1,1,1,1,5
"<speaker2>#ADDRESS#, #EMAIL# #PRS_ORG# Setzer Sofa Retrogelb","<speaker2>#ADDRESS#, #EMAIL# #PRS_ORG# seater sofa retro yellow",<speaker2>Ich werde das nur für Sie untersuchen. Darf ich bitte nach Ihrer Bestellnummer fragen?,<speaker2>I will just look into this for you. May I ask for your order number please?,2,0,1,1,1,1,5
<speaker1>Ich werde das nur für Sie untersuchen. Darf ich bitte nach Ihrer Bestellnummer fragen?,<speaker1>I will just look into this for you. May I ask for your order number please?,<speaker2>Bekomme ich dann morgen eine E-Mail dazu? Ein Preisnachlass wäre für mich ok? #PHONENUMBER#,<speaker2>Will I receive an email tomorrow? A discount would be ok for me? 0,2,0,1,1,1,1,5
<speaker2>Bekomme ich dann morgen eine E-Mail dazu? Ein Preisnachlass wäre für mich ok? #PHONENUMBER#,<speaker2>Will I receive an email tomorrow? A discount would be ok for me? 0,<speaker2>Es beginnt normalerweise mit 160.,<speaker2>It usually starts 160.,2,0,1,1,1,1,1
<speaker1>Es beginnt normalerweise mit 160.,<speaker1>It usually starts 160.,"<speaker2>160,- Euro?","<speaker2>160, - Euro?",2,0,1,0,0,1,3
"<speaker2>160,- Euro?","<speaker2>160, - Euro?",<speaker2>Ich werde von Ihrer Adresse nach der Bestellnummer suchen.,<speaker2>I will check from your address for the order number.,2,0,1,1,1,1,1
<speaker1>Ich werde von Ihrer Adresse nach der Bestellnummer suchen.,<speaker1>I will check from your address for the order number.,<speaker2>Ja bitte! Eine andere Nummer habe ich leider nicht gefunden.,"<speaker2>Yes please! Unfortunately, I did not find another number.",2,0,1,1,1,1,5
<speaker2>Ja bitte! Eine andere Nummer habe ich leider nicht gefunden.,"<speaker2>Yes please! Unfortunately, I did not find another number.","<speaker2>Es tut mir leid, Sie warten zu lassen. Ich überprüfe das nur für Sie. Es tut mir leid, Sie behalten zu haben. Es tut mir leid, Sie behalten zu haben. Es tut mir leid für die Probleme mit Ihrem Sofa. Ich kann Ihnen einen Gutschein für 60.00 € oder eine Rückerstattung von 30.00 € anbieten, um es so zu belassen, wie es ist.",<speaker2>Sorry to keep you I am just checking this for you. I am sorry to have kept you. I am sorry to have kept you. I am sorry for the problems with your sofa I can offer you a voucher for €60.00 or a refund of  €30.00 to keep it as it is.,2,1,1,1,1,1,5
"<speaker1>Es tut mir leid, Sie warten zu lassen. Ich überprüfe das nur für Sie. Es tut mir leid, Sie behalten zu haben. Es tut mir leid, Sie behalten zu haben. Es tut mir leid für die Probleme mit Ihrem Sofa. Ich kann Ihnen einen Gutschein für 60.00 € oder eine Rückerstattung von 30.00 € anbieten, um es so zu belassen, wie es ist.",<speaker1>Sorry to keep you I am just checking this for you. I am sorry to have kept you. I am sorry to have kept you. I am sorry for the problems with your sofa I can offer you a voucher for €60.00 or a refund of  €30.00 to keep it as it is.,"<speaker2>Können wir uns einigen, Rückerstattung von 30 und die Versandkosten von 34,48 Euro das wäre fair, Danke!","<speaker2>Can we agree, refunds Von 30 and the shipping costs 34,48 Euro Von that would be fair, Thank you!",2,0,1,1,1,1,3
"<speaker2>Können wir uns einigen, Rückerstattung von 30 und die Versandkosten von 34,48 Euro das wäre fair, Danke!","<speaker2>Can we agree, refunds Von 30 and the shipping costs 34,48 Euro Von that would be fair, Thank you!",<speaker2>Ich kann die Rückerstattung auf €60.00 erhöhen.,<speaker2>I can increase the refund to €60.00.,2,0,1,1,1,1,5
<speaker1>Ich kann die Rückerstattung auf €60.00 erhöhen.,<speaker1>I can increase the refund to €60.00.,<speaker2>Ja in Ordnung! Geht es dann auf meine #PRS_ORG# Konto zurück?,<speaker2>Yes okay! Will it then return to my #PRS_ORG# account?,,0,1,1,1,1,5
