ctx_src,ctx_tgt,res_src,res_tgt,correctness,templated,engagement,understanding,sensibleness,politeness,iq
<speaker2>Gostaria de saber os valores dos planos de assinatura Ela Tudo bem? #NAME#,<speaker2>I would like to know the values of the subscription plans She All right? #NAME#,"<speaker2>Um momento, por favor.",<speaker2>One moment please.,2,1,1,0,0,1,2
"<speaker1>Um momento, por favor.",<speaker1>One moment please.,<speaker2>gostaria de saber como funciona a assinatura mensal - valores e se consigo utilizar em aulas de musculação,<speaker2>I would like to know how the monthly subscription works - values and if I can use it in bodybuilding classes,2,0,1,0,0,0,2
<speaker2>gostaria de saber como funciona a assinatura mensal - valores e se consigo utilizar em aulas de musculação,<speaker2>I would like to know how the monthly subscription works - values and if I can use it in bodybuilding classes,<speaker2>Os planos mensais são os seguintes: €12.00 7 créditos €25.00 18 créditos €45.00 #NUMBER# créditos €75.00 #NUMBER# créditos Você pode usar os créditos para reservar aulas.,<speaker2>The monthly plans are the following: €12.00 7 credits €25.00 18 credits €45.00 #NUMBER# credits €75.00 #NUMBER# credits You can use the credits to book classes.,2,1,1,1,1,1,5
<speaker1>Os planos mensais são os seguintes: €12.00 7 créditos €25.00 18 créditos €45.00 #NUMBER# créditos €75.00 #NUMBER# créditos Você pode usar os créditos para reservar aulas.,<speaker1>The monthly plans are the following: €12.00 7 credits €25.00 18 credits €45.00 #NUMBER# credits €75.00 #NUMBER# credits You can use the credits to book classes.,<speaker2>é em euro? não em real?,<speaker2>Is it in euro? Not in real?,2,0,1,1,1,0,3
<speaker2>é em euro? não em real?,<speaker2>Is it in euro? Not in real?,"<speaker2>Me desculpe. Um momento, por favor. R$35 5 créditos R$99 15 créditos R$189 30 créditos R$299 #NUMBER# créditos Aqui estão os preços corretos.",<speaker2>My apologies! One moment please. R$35 5 credits R$99 15 credits R$189 30 credits R$299 #NUMBER# credits There is the correct prices.,2,0,1,1,1,1,5
"<speaker1>Me desculpe. Um momento, por favor. R$35 5 créditos R$99 15 créditos R$189 30 créditos R$299 #NUMBER# créditos Aqui estão os preços corretos.",<speaker1>My apologies! One moment please. R$35 5 credits R$99 15 credits R$189 30 credits R$299 #NUMBER# credits There is the correct prices.,<speaker2>você consegue saber quantos créditos usa para #PRS_ORG#? #PRS_ORG#?,<speaker2>Can you know how many credits you use for #PRS_ORG#? #PRS_ORG#?,2,0,1,1,1,1,4
<speaker2>você consegue saber quantos créditos usa para #PRS_ORG#? #PRS_ORG#?,<speaker2>Can you know how many credits you use for #PRS_ORG#? #PRS_ORG#?,<speaker2>As Aulas na #PRS_ORG# são geralmente de 2 a 4 créditos! Me avisa se você tem mais alguma dúvida!,<speaker2>#PRS_ORG# are generally 2-4 credits! Let me know if you have any other questions!,2,0,1,1,1,1,4
<speaker1>As Aulas na #PRS_ORG# são geralmente de 2 a 4 créditos! Me avisa se você tem mais alguma dúvida!,<speaker1>#PRS_ORG# are generally 2-4 credits! Let me know if you have any other questions!,<speaker2>Obrigado! Achei meio caro para quem vai 3 x por semana...,<speaker2>Thank you! I found it kind of expensive for those who will 3 x a week...,2,0,1,1,1,1,3
<speaker2>Obrigado! Achei meio caro para quem vai 3 x por semana...,<speaker2>Thank you! I found it kind of expensive for those who will 3 x a week...,"<speaker2>De nada! Por favor, volte a entrar em contato se houver algo mais em que possa ajudar.",<speaker2>You're welcome! Please let me know if there's anything else I can do for you.,2,0,0,1,0,0,3
"<speaker2>Boa noite. Gostaria de informar que novamente cobraram a mensalidade sem que eu pudesse confirmar meu retorno as academias. Não tenho saído por segurança principalmente por estarmos na fase vermelha. Gostaria de pedir por favor o reembolso. Cancelei meu plano mas mesmo assim me cobraram. Por favor, aguardo o retorno. Obrigada.",<speaker2>Good evening. I would like to inform you that again charged the tuition fee without I could confirm my return to the academies. I have not been out for safety mainly because we are in the red phase. I would like to ask for a refund. I canceled my plan but still charged me. Please wait for the return. Thanks.,<speaker2>Obrigado por entrar em contato com o #PRS_ORG#! Espero que você esteja bem e seguro. Peço desculpas pela inconveniência. Deixe-me verificar isso para você. Aguarde enquanto eu acesso sua conta. :),<speaker2>Thank you for reaching #PRS_ORG#! I hope you're doing great safe and sound. I apologize for the inconvenience. Let me check on that for you. Please hold while I pull up your account. :),2,0,1,1,1,1,5
<speaker1>Obrigado por entrar em contato com o #PRS_ORG#! Espero que você esteja bem e seguro. Peço desculpas pela inconveniência. Deixe-me verificar isso para você. Aguarde enquanto eu acesso sua conta. :),<speaker1>Thank you for reaching #PRS_ORG#! I hope you're doing great safe and sound. I apologize for the inconvenience. Let me check on that for you. Please hold while I pull up your account. :),<speaker2>Sim. Por favor.,<speaker2>Yes. Please.,2,0,1,1,1,1,5
<speaker2>Sim. Por favor.,<speaker2>Yes. Please.,"<speaker2>Obrigado por esperar pacientemente. Você está se referindo à taxa de R$#NUMBER#,00 em 26 de dezembro?",<speaker2>Thank you for patiently waiting! Are you referring to the R$ #NUMBER# charge on December 26?,2,0,1,1,1,1,5
"<speaker1>Obrigado por esperar pacientemente. Você está se referindo à taxa de R$#NUMBER#,00 em 26 de dezembro?",<speaker1>Thank you for patiently waiting! Are you referring to the R$ #NUMBER# charge on December 26?,<speaker2>Sim,<speaker2>Yes.,2,0,1,1,1,1,5
<speaker2>Sim,<speaker2>Yes.,"<speaker2>Caso deseje receber um reembolso e cancelamento de conta, isso cancelará completamente a assinatura imediatamente e perderá todos os créditos não utilizados.","<speaker2>Should you wish to receive a refund and account cancellation, this will completely cancel the membership immediately and forfeits all unused credits.",2,0,1,1,1,1,5
"<speaker1>Caso deseje receber um reembolso e cancelamento de conta, isso cancelará completamente a assinatura imediatamente e perderá todos os créditos não utilizados.","<speaker1>Should you wish to receive a refund and account cancellation, this will completely cancel the membership immediately and forfeits all unused credits.",<speaker2>Sim. Prefiro. Não tenho aonde usar todos os créditos q tenho Desejo o reembolso,<speaker2>Yes. I prefer it. I don't have where to use all the credits I have I wish you a refund,2,0,1,1,1,1,5
<speaker2>Sim. Prefiro. Não tenho aonde usar todos os créditos q tenho Desejo o reembolso,<speaker2>Yes. I prefer it. I don't have where to use all the credits I have I wish you a refund,"<speaker2>Como é esse o caso, reembolsei o R$#NUMBER#,00 e cancelei sua assinatura imediatamente. O reembolso estará disponível em 5 a 7 dias, dependendo do seu banco, e não haverá mais cobranças. Enquanto isso, você pode visualizar a cobrança reembolsada na página de faturamento nas suas configurações da conta. Além disso, enviei o recibo para o seu endereço de e-mail #EMAIL#. Posso ajudar com mais alguma coisa?","<speaker2>As this is the case, I refunded R$ #NUMBER# and cancelled your membership immediately. You can expect this refund to arrive in 5-7 days depending on your bank/carrier, and you won't be charged again moving forward. In the meantime, you can view the refunded charge on the billing page in your Account Settings. And also, I went ahead and sent the receipt over to your #EMAIL# email address. Is there anything else I can help with?",2,0,1,1,1,1,5
"<speaker1>Como é esse o caso, reembolsei o R$#NUMBER#,00 e cancelei sua assinatura imediatamente. O reembolso estará disponível em 5 a 7 dias, dependendo do seu banco, e não haverá mais cobranças. Enquanto isso, você pode visualizar a cobrança reembolsada na página de faturamento nas suas configurações da conta. Além disso, enviei o recibo para o seu endereço de e-mail #EMAIL#. Posso ajudar com mais alguma coisa?","<speaker1>As this is the case, I refunded R$ #NUMBER# and cancelled your membership immediately. You can expect this refund to arrive in 5-7 days depending on your bank/carrier, and you won't be charged again moving forward. In the meantime, you can view the refunded charge on the billing page in your Account Settings. And also, I went ahead and sent the receipt over to your #EMAIL# email address. Is there anything else I can help with?",<speaker2>Sim. Obrigada. Irei observar se o reembolso foi efetuado nestes dias.,<speaker2>Yes. Thanks. I will check if the refund has been made in these days.,2,0,1,1,1,1,5
<speaker2>Sim. Obrigada. Irei observar se o reembolso foi efetuado nestes dias.,<speaker2>Yes. Thanks. I will check if the refund has been made in these days.,"<speaker2>De nada! :) Se você tiver mais alguma dúvida, entre em contato conosco aqui: #URL# Tenha um bom dia!","<speaker2>You're welcome! :) If you have any more questions, please feel free to contact us here: #URL# Have a nice day!",2,0,1,1,1,1,5
"<speaker1>De nada! :) Se você tiver mais alguma dúvida, entre em contato conosco aqui: #URL# Tenha um bom dia!","<speaker1>You're welcome! :) If you have any more questions, please feel free to contact us here: #URL# Have a nice day!",<speaker2>Os meus creditos nao posso repassar para outra pessoa?,<speaker2>Can't my credits pass on to someone else?,2,0,,,,0,
<speaker2>Os meus creditos nao posso repassar para outra pessoa?,<speaker2>Can't my credits pass on to someone else?,"<speaker2>Olá, #NAME#, bom encontro com você aqui no chat! Você não pode transferir, negociar ou trocar créditos #PRS_ORG#. Mas se você estiver interessada em oferecer #PRS_ORG# a alguém, sempre poderá fazê-lo em #URL#. As ofertas #PRS_ORG# não expirarão, para que seu amigo possa usar seu presente sempre que estiver pronto:)","<speaker2>Hi #NAME#, nice meeting you here on chat! You can’t transfer, trade, or otherwise exchange #PRS_ORG# credits. But if you’re interested in gifting #PRS_ORG# to someone, you can always do so at #URL#. #PRS_ORG# gifts won’t expire, so your friend can use your gift whenever they’re ready :)",2,0,1,1,1,1,5
"<speaker1>Olá, #NAME#, bom encontro com você aqui no chat! Você não pode transferir, negociar ou trocar créditos #PRS_ORG#. Mas se você estiver interessada em oferecer #PRS_ORG# a alguém, sempre poderá fazê-lo em #URL#. As ofertas #PRS_ORG# não expirarão, para que seu amigo possa usar seu presente sempre que estiver pronto:)","<speaker1>Hi #NAME#, nice meeting you here on chat! You can’t transfer, trade, or otherwise exchange #PRS_ORG# credits. But if you’re interested in gifting #PRS_ORG# to someone, you can always do so at #URL#. #PRS_ORG# gifts won’t expire, so your friend can use your gift whenever they’re ready :)",<speaker2>Entendi. Obrigada,<speaker2>Got it. Thanks.,2,0,1,1,1,1,5
<speaker2>gostari de saber valores odos pacotes para pessoa fisica.,<speaker2>I like to know the values of the packages for physical person.,"<speaker2>Olá, #NAME#, Espero que você esteja tendo um bom dia!",<speaker2>Hi #NAME#! I hope you're having a good day.,2,1,1,0,0,1,4
"<speaker1>Olá, #NAME#, Espero que você esteja tendo um bom dia!",<speaker1>Hi #NAME#! I hope you're having a good day.,<speaker2>bom dia preciso saber valores e nao encontro no site tem como me ajudar?,<speaker2>Good morning I need to know values and not meet on the site How do you help me?,1,0,1,1,1,1,4
<speaker2>bom dia preciso saber valores e nao encontro no site tem como me ajudar?,<speaker2>Good morning I need to know values and not meet on the site How do you help me?,"<speaker2>Peço desculpas, mas você precisa ligar para o estúdio diretamente, pois não temos os valores para ele.",<speaker2>I apolgize but you need to call the studio directly since we don't have the values for it.,1,0,1,1,1,1,3
"<speaker1>Peço desculpas, mas você precisa ligar para o estúdio diretamente, pois não temos os valores para ele.",<speaker1>I apolgize but you need to call the studio directly since we don't have the values for it.,"<speaker2>estou querendo saber como sao os pacotes de vcs, sao creditos mensais? Quero saber o valor de #NUMBER# credits por exemplo","<speaker2>I'm wondering how are the packages of vcs, are monthly credits? I want to know the value of #NUMBER# credits for example",1,0,1,1,1,1,3
"<speaker2>estou querendo saber como sao os pacotes de vcs, sao creditos mensais? Quero saber o valor de #NUMBER# credits por exemplo","<speaker2>I'm wondering how are the packages of vcs, are monthly credits? I want to know the value of #NUMBER# credits for example","<speaker2>Agradeço por esclarecer aqui! Você não terá acesso aos preços de crédito da aula sem uma assinatura ativa, mas, para ter uma ideia de como nosso sistema funciona, o número de créditos necessários para reservar uma aula é ajustado com base no horário em que você está reservando, em qual estúdio você está visitando e a que horas é a sua aula. Embora não possamos fornecer um número definitivo agora, se houver um estúdio específico que você esteja interessada em visitar, podemos fornecer a você uma gama de quantos créditos cada aula poderia custar. Lembre-se de que as aulas mudam dinamicamente e em tempo real! #NAME#, gostaria de verificar se você ainda está comigo. Parece que você está ocupada agora, então eu vou fechar o chat. Se você tiver outras perguntas ou quiser entrar em contato conosco, pode fazê-lo aqui: #URL# Tenha um ótimo dia :)","<speaker2>Happy to clarify here! You won't have access to class credit pricing without an active membership, but to give you an idea of how our system works, the number of credits needed to book a class is adjusted based on the time you’re booking, what studio you’re visiting, and what time your class is. While we’re not able to provide a definitive number right now, if there’s a particular studio you’re interested in visiting, we can give you a range of how many credits each class could be. Just keep in mind that classes do change dynamically and in real time! #NAME#, I would just like to check if you are still with me? It seems like you're busy right now, so I'm going to close out the chat. If you have any other questions or want to get back in contact with us, you can do so here: #URL# Have a great day!",2,0,1,1,1,1,2
"<speaker2>Olá, recebi um email avisando que eu vou perder meus créditos caso não pague me #NUMBER# horas. O problema é: eu já pedi e já bloquearam a minha conta por conta de eu ter uma comorbidade e estar proibido pelo médico de ir a academia. Como eu faço? Aguardo reposta","<speaker2>Hello, I received an email warning that I will lose my credits if I don't pay #NUMBER# hours. The problem is: I have already ordered and already blocked my account because I have a comorbidity and be forbidden by the doctor to go to academia. How do I do it? I await reply","<speaker2>Obrigada por entrar em contato com a #PRS_ORG#! Espero que você esteja bem e seguro. Peço desculpas pela inconveniência. Deixe-me verificar isso para você. Aguarde enquanto eu acesso sua conta. :) O motivo pelo qual você recebeu um e-mail é que seu pagamento passado para #PRS_ORG# não foi processado devido à recusa do cartão. Se atualizar o cartão de crédito da conta, poderemos processar a cobrança e fazer com que você volte a operar! Ainda estamos conectados? Parece que você está ocupado agora, então eu vou fechar o chat. Se você tiver outras perguntas ou quiser entrar em contato conosco, pode fazê-lo aqui: #URL# Tenha um ótimo dia :)","<speaker2>Thank you for reaching #PRS_ORG#! I hope you're doing great safe and sound. I apologize for the inconvenience. Let me check on that for you. Please hold while I pull up your account. :) The reason you received an email is that your past payment to #PRS_ORG# was not processed due to the card being declined. If you update your credit card in your account we can process the charge and get you moving again! Are we still connected? It seems like you're busy right now, so I'm going to close out the chat. If you have any other questions or want to get back in contact with us, you can do so here: #URL# Have a great day!",2,0,0,0,0,1,3
"<speaker1>Obrigada por entrar em contato com a #PRS_ORG#! Espero que você esteja bem e seguro. Peço desculpas pela inconveniência. Deixe-me verificar isso para você. Aguarde enquanto eu acesso sua conta. :) O motivo pelo qual você recebeu um e-mail é que seu pagamento passado para #PRS_ORG# não foi processado devido à recusa do cartão. Se atualizar o cartão de crédito da conta, poderemos processar a cobrança e fazer com que você volte a operar! Ainda estamos conectados? Parece que você está ocupado agora, então eu vou fechar o chat. Se você tiver outras perguntas ou quiser entrar em contato conosco, pode fazê-lo aqui: #URL# Tenha um ótimo dia :)","<speaker1>Thank you for reaching #PRS_ORG#! I hope you're doing great safe and sound. I apologize for the inconvenience. Let me check on that for you. Please hold while I pull up your account. :) The reason you received an email is that your past payment to #PRS_ORG# was not processed due to the card being declined. If you update your credit card in your account we can process the charge and get you moving again! Are we still connected? It seems like you're busy right now, so I'm going to close out the chat. If you have any other questions or want to get back in contact with us, you can do so here: #URL# Have a great day!","<speaker2>eu entendo, mas porque cobrar se a minha conta está bloqueada eu recebi esse email Olá perdi o chat aqui","<speaker2>I understand, but why charge if my account is blocked I received this email Hello I lost the chat here",2,0,1,0,0,1,3
"<speaker2>eu entendo, mas porque cobrar se a minha conta está bloqueada eu recebi esse email Olá perdi o chat aqui","<speaker2>I understand, but why charge if my account is blocked I received this email Hello I lost the chat here",<speaker2>Oi. Como posso ajudar você hoje?,<speaker2>Hello How may I help you today?,2,1,1,0,0,1,3
