ctx_src,ctx_tgt,res_src,res_tgt,correctness,templated,engagement,understanding,sensibleness,politeness,iq
"<speaker2>Boa Tarde. No serviço online quando faço a encomenda  o NIF é sempre rejeitado, não permitindo fazer a encomeda. atentamente. #NAME#.","<speaker2>Good afternoon. In the online service when ordering the NIF is always rejected, not allowing to commit. Attentively. #NAME#.","<speaker2>Obrigado por entrar em contato com o Apoio ao Serviço de apoio ao cliente da #PRS_ORG#, o meu nome é #NAME# e é um prazer ajudá-lo.",<speaker2>Thank you for contacting #PRS_ORG# Customer Care Support My name is #NAME#  and it is  a pleasure to assist you.,1,1,0,1,1,1,5
"<speaker1>Obrigado por entrar em contato com o Apoio ao Serviço de apoio ao cliente da #PRS_ORG#, o meu nome é #NAME# e é um prazer ajudá-lo.",<speaker1>Thank you for contacting #PRS_ORG# Customer Care Support My name is #NAME#  and it is  a pleasure to assist you.,<speaker2>Quando faço uma encomenda na Store o NIF é rejeitado e não consigo fazer a compra. Como ultrapassar este problema (Bug).,<speaker2>When I place an order in the Store the NIF is rejected and I cannot make the purchase. How to overcome this problem (Bug).,1,0,1,1,1,1,4
<speaker2>Quando faço uma encomenda na Store o NIF é rejeitado e não consigo fazer a compra. Como ultrapassar este problema (Bug).,<speaker2>When I place an order in the Store the NIF is rejected and I cannot make the purchase. How to overcome this problem (Bug).,"<speaker2>Ok, neste caso, terá de verificar com o banco, eles podem ajudá-lo a descobrir a razão pela qual o NIF não é aceite.","<speaker2>Ok, in this case you will have to check with Bank they can help you the reason why its not accepting.",1,1,1,0,0,1,2
"<speaker1>Ok, neste caso, terá de verificar com o banco, eles podem ajudá-lo a descobrir a razão pela qual o NIF não é aceite.","<speaker1>Ok, in this case you will have to check with Bank they can help you the reason why its not accepting.",<speaker2>Mas o NIF é o número de identificação fiscal. Não é o NIB.,<speaker2>But the NIF is the tax identification number. It is not the NIB.,2,0,1,1,1,1,2
<speaker2>Mas o NIF é o número de identificação fiscal. Não é o NIB.,<speaker2>But the NIF is the tax identification number. It is not the NIB.,"<speaker2>Oh ok ok, pode enviar-me os detalhes, por favor? Então vou pedir à minha equipa para verificar a situação para si.","<speaker2>Oh ok ok, can you send me the details please ? Then I will ask my team to check this for you.",2,1,1,1,1,1,4
"<speaker1>Oh ok ok, pode enviar-me os detalhes, por favor? Então vou pedir à minha equipa para verificar a situação para si.","<speaker1>Oh ok ok, can you send me the details please ? Then I will ask my team to check this for you.","<speaker2>""O número de identificação fiscal indicado não está correto. Introduza o número de identificação fiscal correto e tente novamente."" É esta a mensagem que aparece ap após o preenchimento do campo NIF","<speaker2>""The tax identification number indicated is not correct. Enter the correct tax identification number and try again. "" This is the message that appears after After filling in the NIF field",0,0,1,1,1,1,5
"<speaker2>""O número de identificação fiscal indicado não está correto. Introduza o número de identificação fiscal correto e tente novamente."" É esta a mensagem que aparece ap após o preenchimento do campo NIF","<speaker2>""The tax identification number indicated is not correct. Enter the correct tax identification number and try again. "" This is the message that appears after After filling in the NIF field","<speaker2>Ok, ajude-me com o NIF.","<speaker2>Ok, help me with the VAT number.",2,0,1,1,1,1,5
"<speaker1>Ok, ajude-me com o NIF.","<speaker1>Ok, help me with the VAT number.",<speaker2>É o número fiscal da empresa ou pessoa singular.,<speaker2>It is the tax number of the company or natural person.,2,0,1,1,1,1,5
<speaker2>É o número fiscal da empresa ou pessoa singular.,<speaker2>It is the tax number of the company or natural person.,<speaker2>Sim. Número de contribuinte da empresa.,<speaker2>Yes. Tax number of company.,2,0,1,1,1,1,5
<speaker1>Sim. Número de contribuinte da empresa.,<speaker1>Yes. Tax number of company.,<speaker2>É um campo obrigatório no momento da encomenda para passar a factura. exato,<speaker2>It is a mandatory field at the time of order to pass the invoice. Exact,2,0,1,1,1,1,5
<speaker2>É um campo obrigatório no momento da encomenda para passar a factura. exato,<speaker2>It is a mandatory field at the time of order to pass the invoice. Exact,<speaker2>Selecionou como pedido de empresa?,<speaker2>Did you select as Company order ?,2,0,1,1,1,1,4
<speaker1>Selecionou como pedido de empresa?,<speaker1>Did you select as Company order ?,<speaker2>sim,<speaker2>Yes,2,0,1,1,1,1,5
